lgrekpc lgsig lgIe
0.1846 1.876 18.46
0.4546 2.04 18.32
0.3946 2.186 18.59
1.165 2.412 17.94
0.6446 2.111 18.21
0.7046 2.305 18.21
0.8846 2.283 18.16
0.9746 2.364 18.15
0.6546 2.394 18.52
0.6546 2.092 18.04
0.5646 2.254 18.59
0.6846 2.355 18.43
0.3546 2.161 18.45
0.2546 2.181 18.81
0.4246 2.074 18.48
0.3046 2.085 18.52
0.2046 2.321 18.88
0.3146 2.221 18.69
0.4746 2.052 18.48
0.2846 1.833 18.41
0.3546 2.28 18.6
0.4346 1.873 18.01
0.1846 2.011 18.64
0.5046 1.934 18.14
0.3146 2.328 18.64
0.6502 2.295 18.54
0.8402 2.2 18.08
0.8202 2.238 18.12
0.6902 2.226 18.26
0.2902 2.203 18.68
0.6502 2.176 18.2
0.6702 2.091 17.99
0.4602 2.298 18.68
0.5402 2.354 18.52
-0.07982 2.269 19.2
0.3802 2.355 18.75
0.4602 2.221 18.53
0.2102 2.145 18.65
0.4802 2.384 18.72
0.5502 2.138 18.15
0.5502 2.247 18.23
0.7902 2.232 18.1
0.7202 2.408 18.3
0.03018 2.156 18.96
0.6202 2.276 18.38
0.5002 2.261 18.65
0.7402 2.17 18.01
0.8902 2.512 18.3
-0.08982 2.379 19.3
0.1202 2.117 18.74
0.5783 2.294 18.26
0.9683 2.306 18.12
0.3583 2.292 18.96
0.6883 2.376 18.26
0.4383 1.981 18.16
1.068 2.336 17.85
0.6183 2.342 18.33
0.3683 2.138 18.48
0.09832 2.063 18.86
0.5483 2.194 18.33
0.5383 2.125 18.27
0.6383 2.339 18.37
0.6683 2.31 18.41
0.9383 2.347 18.11
0.3876 2.33 18.76
1.058 2.166 17.7
1.088 2.392 18.05
0.7676 2.349 18.24
0.4476 1.935 18.35
0.2176 2.32 18.82
0.5876 2.271 18.41
0.8619 2.342 18.15
0.5919 2.349 18.83
0.7419 2.449 18.49
0.3019 2.265 18.83
0.2219 2.276 18.9
0.8919 2.392 18.29
0.6319 2.041 18.23
0.4519 2.298 18.81
0.5819 2.135 18.41
0.09194 2.105 18.95
0.2519 2.094 18.54
0.00194 2.14 18.95
1.011 2.055 17.73
0.07052 2.1 18.9
0.2505 2.201 18.68
0.1905 1.993 18.59
0.5605 2.154 18.35
0.5205 2.42 18.56
0.1405 2.222 18.86
0.1905 2.332 18.66
0.2205 2.067 18.68
-0.08948 2.387 19.38
0.3605 2.171 18.42
0.5105 2.248 18.44
1.061 2.522 18.26
0.5005 2.26 18.48
0.3105 2.318 18.78
0.3605 2.108 18.44
0.6118 2.465 18.54
0.4318 1.912 18.07
0.4518 1.949 18.13
0.2718 2.07 18.75
0.4918 2.122 18.23
0.4618 1.913 18.01
1.082 2.337 17.9
